codigo,descripcion,tarifa1
650173841,HOJA PUERTA ROTURA_LMV++,0
650173840,MARCO PUERTA ROTURA_LMV++,0
650173825,PILASTRA PUERTA ROTURA_LMV++,0
650173809,INVERSOR ROTURA_LMV++,0
650173808,PILASTRA VENTANA ROTURA_LMV++,0
650173804,HOJA VENTANA ROTURA_LMV++,0
650173803,MARCO SOLAPE ROTURA_LMV++,0
650173801,MARCO VENTANA ROTURA_LMV++,0
650163811,UNION MARCOS 50mm.ROTURA_LMN,0
650163809,INVERSOR ROTURA_LMN++,0
650163808,PILASTRA VENTANA ROTURA_LMN++,0
650163804,HOJA VENTANA ROTURA_LMN++,0
650163801,MARCO VENTANA ROTURA_LMN++,0
650144376,FORRAMARCO 36mm.DISE�O_LMP++,0
650133809,INVERSOR ROTURA_LBP++,0
650133804,HOJA VENTANA ROTURA_LBP++,0
650133801,MARCO VENTANA ROTURA_LBP++,0
650124376,FORRAMARCO 36mm.DISE�O_LC4++,0
650123842,HOJA PTA.APER.EXT.ROTURA_LC4++,0
650123841,HOJA PUERTA ROTURA_LC4++,0
650123840,MARCO PUERTA ROTURA_LC4++,0
650123825,PILASTRA PUERTA ROTURA_LC4++,0
650123811,UNION MARCOS 50mm.ROTURA_LC4,0
650123809,INVERSOR ROTURA_LC4++,0
650123804,HOJA VENTANA ROTURA_LC4++,0
650123801,MARCO VENTANA ROTURA_LC4++,0
650113801,MARCO VENTANA ROTURA_LC3++,0
650104376,FORRAMARCO 36mm.DISE�O_LC2++,0
650103842,HOJA PTA.APER.EXT.ROTURA_LC2++,0
650103812,HOJA VENTANA S/JUNQ.ROTURA_LC2++,0
650103811,UNION MARCOS 50mm.ROTURA_LC2,0
650103809,INVERSOR ROTURA_LC2++,0
650103808,PILASTRA VENTANA ROTURA_LC2++,0
650103804,HOJA VENTANA ROTURA_LC2++,0
650103803,MARCO SOLAPE ROTURA_LC2++,0
650103801,MARCO VENTANA ROTURA_LC2++,0
650093841,HOJA PUERTA ROTURA_AOC++,0
650093814,FORRAMARCO 45mm.DISE�O_AOC++,0
650093809,INVERSOR ROTURA_AOC++,0
650093808,PILASTRA VENTANA ROTURA_AOC++,0
650093801,MARCO VENTANA ROTURA_AOC++,0
650084376,FORRAMARCO 36mm.DISE�O_INOX++,0
650083843,ZOCALO CENTRAL 140mm_INOX++,0
650083842,HOJA PTA.APER.EXT.ROTURA_INOX++,0
650083841,HOJA PUERTA ROTURA_INOX++,0
